Site,ID,SampleDate,Latitude,Longitude,HerbBio.g.m2,ShrubBio.g.m2,NDWI_June,EVI_June,SAVI_June,BSI_June,NDPI_June,NDWI_Sept,NDGI_June,EVI_Sept,SAVI_Sept,BSI_Sept,NDPI_Sept,NDGI_Sept,dBlue,dGreen,dRed,dNIR,dSWIR_1,dSWIR_2,dNDVI,dNDWI,dEVI,dSAVI,dBSI,dNDPI,dNDSI,dNDGI,Cdef,Elevation,AET,Flow,Slope,SWE,Annual_Precipitation,Snow_days,Wet_days,Minimum_temperature,Maximum_temperature,SRad,Shallow_Clay,Deep_Clay,Shallow_Sand,Deep_Sand,Shallow_Hydra_Conduc,Deep_Hydra_Conduc,Lithology,Organic_Matter,Active_growth_days,ModisNPP,LandsatNPP,ANPP
Lower Clarks,LC12,2016-07-27,40.12289886,-120.5043605,71.68,,-0.1655886997884791,0.1912493565868035,0.1905549632603465,0.1799044035863064,0.1594810262684585,-0.2421462202162132,0.1162497299422881,0.1248615012199486,0.1267833239357205,0.2440623180324879,0.0523030457120594,0.0187186330506259,13.77374810267857,18.886154761904763,23.207161845238097,45.39501911458333,64.04585051339286,46.03755102678572,74.17400984550363,-38.58804786228147,41.08296394620578,41.43786843456129,43.00900276469491,34.953810096592406,-123.1893046751646,19.58686942742186,825.5,1678.9532470703125,294.1,144,0.0990363389013696,0,688,89,0,276.0771179199219,287.9131774902344,29879.327072143555,17.95157814025879,24.313709259033203,33.249549865722656,37.08832931518555,3.889071214400999,1.3646618141078335,5,0.4592891844717624,114,424.1,390.0,31.037440000000004
Coyote,Y6,2016-07-08,40.11030765,-120.4171755,83.52,,-0.1841220518369802,0.1806705293689221,0.1750410277796951,0.1798136924177965,0.1229735659962115,-0.2401056970142221,0.1175675889100134,0.1335821045515208,0.1342188616819954,0.2314119944400624,0.0623843294631929,0.0532280223628056,13.236363550562888,17.282384708850934,19.813619817546577,38.38053586277175,54.2468847166149,41.36246772952252,73.67205938521559,-40.16224359259257,36.88887030113182,36.79407982632493,41.96085879878608,30.069725200419228,-119.2145633881536,21.832262976471583,839.4000000000001,1700.78369140625,284.8,970,0.0,0,644,86,0,276.6470031738281,287.99566650390625,29829.68377685547,17.53533935546875,18.44575881958008,55.1585807800293,53.46455001831055,3.080758696739833,1.5113335217141664,19,0.6802480041986915,148,307.20000000000005,247.9,36.164159999999995
Coyote,Y2,2016-07-08,40.11010582,-120.4176001,120.16,,-0.191059296120984,0.1818159115313327,0.1765939939458186,0.187940437795023,0.1152056456613029,-0.2629440904750936,0.1078605534593368,0.1256932588972164,0.1261104665087942,0.2502913712266006,0.029640257606182,0.0376276041782491,13.699002110183743,17.83721920694229,20.70734517630693,39.93800450067936,56.80358441915761,43.39163838913691,72.96436400827923,-40.44003798462597,37.74391679827572,37.57171006614792,42.18115795585061,29.40957062539416,-119.83196396373836,20.890384122694016,839.2,1700.78369140625,284.7,909,0.0017463820777458,0,644,87,0,276.6478576660156,287.99072265625,29829.637619018555,18.071144104003903,20.974342346191406,47.0565185546875,41.822391510009766,2.6605704875782497,1.35981828500348,19,0.9439870330359056,116,363.5,253.0,52.02928
Lower Dixie,LX2,2016-07-18,39.93969301,-120.338712,138.56,,-0.0578804273246037,0.240102163194414,0.2409501253499718,0.1027242141110707,0.2572789427122189,-0.165048117903568,0.1548832009320062,0.1621899802701224,0.1643348188210601,0.1957920695803603,0.1286508715450158,0.0407853335690268,10.285720214868014,15.27892337722136,19.664429500086264,41.94347632056591,48.036432654524674,32.876741066942714,69.56503499214358,-12.059248018740176,39.19929037448387,40.55360004733943,23.44478605997604,47.03920374746624,-97.300085625704,18.932698170537744,781.0,1793.271484375,320.1,35,2.0482173218386435,0,745,130,0,273.6895751953125,287.9964599609375,29293.551803588867,21.757305145263672,19.994632720947266,41.32284164428711,44.28264999389648,2.7327654231628404,2.7271191438849764,5,1.460079980466641,85,470.1,235.0,59.99648
Coyote,Y4,2016-07-08,40.11039759,-120.4178613,149.76,,-0.1768478273332711,0.1877949863224475,0.183083718714777,0.1767045360449863,0.1396934148372249,-0.2346700453148645,0.1217394830256273,0.1392950922702801,0.1402153005124393,0.2298387888343901,0.0707661895534286,0.0592948643383851,12.797062841129655,16.89269388732531,19.33251177406833,38.86832003202639,54.916492379173135,41.69015978940217,76.7962084144132,-39.85129430528676,38.65592536298975,38.61092244567192,41.6586928727517,31.81052426088984,-121.51577589722102,23.75496183049934,839.0,1700.78369140625,284.8,982,0.0069886602391493,0,644,85,0,276.6466064453125,287.98846435546875,29830.02392578125,17.7226505279541,24.7958927154541,44.51301574707031,40.74838638305664,2.735995077123423,1.4611849388689233,19,1.0864219200482577,138,302.2,264.2,64.84608
McReynolds,M5,2016-08-09,39.96023596,-120.488891,150.4,,0.0028660125608224,0.2937740554486813,0.290530287573729,0.0521707552106023,0.3498347883697418,-0.1863708936384965,0.1996966676330096,0.171839129059995,0.1786559279359956,0.2142092475241269,0.1513554816263412,0.054179958785502,10.786453933456263,16.312168282802794,20.352334732725154,51.753951377976186,52.0006918281897,32.55260762153856,89.82570260069713,0.755547292613926,55.84670981136852,55.38477811513971,12.381520630897024,68.97454990100225,-104.9798832690892,35.034432576122825,792.3000000000001,1657.646240234375,321.90000000000003,1221,4.588398016377532,0,788,92,0,273.87664794921875,288.7747802734375,29517.36651611328,15.719149589538574,30.83310890197754,56.00764083862305,33.93447494506836,3.6287092039004367,0.4199339196371933,19,1.2053944867561932,98,625.9000000000001,655.4000000000001,65.1232
Lower Dixie,LX4,2016-07-18,39.93929202,-120.338708,151.2,,-0.0035902102676386,0.2793296351302978,0.2798819499652953,0.0594462042402454,0.3208276234834191,-0.1669791361292491,0.196256326138587,0.1737829963994534,0.181369782070433,0.2022101667607077,0.1423933191399256,0.0513143860909855,9.049477991136126,14.328957502156658,18.6478522425164,47.39068280579279,48.00895631705056,31.283288392447385,83.50104177235343,-0.6395446225924593,49.09610012831964,50.83943851260479,14.502433183214592,61.77627883903217,-102.00431534130811,28.634262283586693,780.9000000000001,1793.510986328125,320.0,33,2.317540380970835,0,745,131,0,273.68603515625,288.0001525878906,29294.211700439453,21.757305145263672,19.994632720947266,41.32284164428711,44.28264999389648,2.7327654231628404,2.7271191438849764,5,1.460079980466641,87,497.90000000000003,394.8,65.4696
Lower Dixie,LX11,2016-07-18,39.93820396,-120.338482,195.2,,-0.0272084393460432,0.2576201496361734,0.25753757782422,0.0814179640393555,0.2888166968826566,-0.1732998442601873,0.1724347841422937,0.1846167657476439,0.1919499921287591,0.2000401523330779,0.1581320552270995,0.0870524508711863,10.031993323908727,14.70214605059524,17.93362861111111,43.62623671527777,45.67775055257937,31.13886853968254,79.18686042465332,-4.90137231871179,45.50065627348079,46.54548086887477,17.017757010876224,54.41918587580007,-97.28551799662084,27.11970685928661,780.7,1792.8619384765625,320.1,29,1.9932316255043017,0,745,129,0,273.6801147460937,288.0027770996094,29295.18572998047,21.757305145263672,19.994632720947266,41.32284164428711,44.28264999389648,2.7327654231628404,2.7271191438849764,5,1.460079980466641,82,613.4,413.90000000000003,84.52159999999999
Alkali Flat,A3,2016-07-08,40.09507086,-120.3448771,216.32,,0.180914655731295,0.352520559722595,0.3431168320554559,-0.1101527529477166,0.5337081118673862,-0.1248385235263548,0.3473122165508282,0.2046177753747724,0.214851281990422,0.1731952616410198,0.2260687878295825,0.0823756065043191,8.68183436480978,14.942345127620342,17.88168165987319,51.30050951631513,43.5434125614648,25.977955126757674,107.60650109765815,24.847124609992548,58.25398899345413,60.51100263667075,-2.3253939359321127,92.20249582330672,-99.71476963025576,46.87386985650528,842.2,1743.0731201171875,284.6,341,2.046252333136566,0,618,90,0,276.4120483398437,288.2611389160156,29788.209747314453,10.023250579833984,12.488630294799805,65.63603210449219,62.87337875366211,6.009328407672157,4.464637207781132,19,1.896762397469536,109,706.8000000000001,730.7,93.66655999999999
Poco,P7,2016-07-07,39.97169059,-120.5279623,225.76,,0.1997194329858813,0.3687126410591453,0.356701155334975,-0.1289228457355533,0.5343702259434226,0.1206642491847181,0.3665057202295139,0.3269281586091766,0.3322846183292245,-0.0411784947277656,0.4823878629143925,0.283184153306615,5.775960505208332,11.188884636160711,9.654702776785715,56.62135241741072,31.26184874404761,16.781627567708327,138.54325792056682,55.4340892632202,84.75350541635827,82.05543366506888,-39.077883154095375,123.10856470219876,-93.49132708213024,89.371054198926,779.0,1639.994384765625,335.3,946,1.038755658829233,0,815,76,1,274.4706115722656,288.396728515625,29596.455673217773,23.44597053527832,26.131505966186523,46.13856506347656,41.81144714355469,1.6190845870628825,0.6839340471848153,5,1.234625599518694,166,279.8,510.1,97.75408
Lower Clarks,LC10,2016-07-27,40.12339767,-120.5046246,242.24,,-0.11603541046989,0.2250620521970553,0.2252419051440599,0.1444292677163966,0.230469458556171,-0.2413950978156464,0.1453862069965867,0.1334615944903883,0.1393583103082602,0.2566822218506236,0.0633294842359026,0.0087972400979188,13.851617522321428,20.052643511904765,25.36207497767857,55.170116502976185,66.52919439732142,45.02187408482144,88.44951265596609,-21.360019511486392,52.19538646842915,53.08625604264667,31.939522230703485,55.41040561365328,-125.52128433723962,28.420830985938625,825.5,1679.087646484375,294.2,98,0.9208882589470097,0,688,83,0,276.0783386230469,287.91192626953125,29879.42608642578,9.037220001220703,11.616059303283691,62.4681396484375,61.457008361816406,1.7627833397590589,2.914513570156611,5,0.9183962854231644,116,485.3,423.20000000000005,104.88992
Coyote,Y12,2016-07-08,40.11144239,-120.41871,248.8,,-0.1840351403246408,0.1946143508839824,0.1899306705306036,0.1876925764472297,0.1376654026307479,-0.2700884480068318,0.1091642859494803,0.1257751559059519,0.1270232239818513,0.262267550920454,0.0303347535887559,0.0234213678909621,13.176523425854036,18.001364226999225,21.59579552843556,43.26866381259704,59.25164961422749,42.99344945991848,77.48017332207164,-35.03900332536099,40.84709922780441,41.46055992400823,40.13329640110329,37.86761459711168,-121.59177961147928,22.55939030206317,838.9000000000001,1700.8912353515625,284.7,772,1.226934198437058,0,645,88,0,276.641845703125,287.9850769042969,29831.47772216797,18.217941284179688,25.38703155517578,41.8361930847168,39.18933868408203,2.931936717195811,1.3439035757171205,19,0.7758597967215466,115,285.6,284.2,107.7304
Lower Clarks,LC4,2016-07-27,40.12336364,-120.5036824,267.2,,0.0984234688491569,0.314193518846928,0.3070651772930994,-0.0346048356066296,0.4350897334810186,-0.030187152540205,0.2769202124794526,0.2314136153899881,0.2367774100383141,0.0874741279451921,0.3051531950371463,0.1519758620440735,11.06764617559524,16.29208242559524,18.118249635416667,49.21182203869048,46.311835974702376,29.668908980654763,107.32188435039514,4.687026151883291,58.17866087517484,58.6301921295736,9.638288726783577,81.17477259395258,-113.74354010655097,45.59015855081413,825.6,1679.06396484375,293.90000000000003,173,0.7684055815917078,0,687,79,0,276.09014892578125,287.9067687988281,29878.939193725582,13.984768867492676,21.409975051879883,58.1113395690918,53.50284194946289,2.4555010049820662,3.5006614662087348,5,1.2883213570634997,135,324.0,516.4,115.6976
Dotta,D1,2016-06-29,39.90285002,-120.369144,275.36,,-0.0174111053270519,0.2718085064419612,0.2339500335527706,0.0806570397053579,0.2753786070567112,-0.1692674839643838,0.1508651512548812,0.1535166648313327,0.1565790417439375,0.1978564601086926,0.1223689663680287,0.0307566178148177,8.77264240029762,13.39344944345238,16.898149278273806,37.03642556696428,41.05670846428573,28.724654919642862,69.59469588788485,-9.031341957477878,35.571087320961354,37.47529736972868,21.507767713165045,46.86333740350598,-93.45421117851993,19.935306124555364,798.3000000000001,1709.8807373046875,335.0,29,1.4590765800625276,0,752,121,0,273.3119201660156,288.5086975097656,29373.9031829834,21.757305145263672,19.994632720947266,41.32284164428711,44.28264999389648,2.7327654231628404,2.7271191438849764,19,1.460079980466641,98,586.1,378.90000000000003,119.23088
Coyote,Y10,2016-07-08,40.11158656,-120.4194028,286.88,,-0.2016833220960225,0.1839047061317948,0.1791378229686366,0.199613986423886,0.1103775086471516,-0.2733925833903287,0.09760030643432,0.1246731671528724,0.1258315041653438,0.2631149991815124,0.0218887449702731,0.0229169025295807,14.002458123059004,18.46923873447205,21.973613023097823,42.28043234375001,61.26542614373059,46.01994472049688,73.92813527230618,-42.21082826219714,38.81126251403738,39.08257040623359,44.78091844306481,29.91044887957188,-123.80617088074224,20.221062512798127,838.8000000000001,1700.610107421875,284.8,703,1.099197845508,0,645,88,0,276.6407775878906,287.97930908203125,29832.0643157959,17.69877052307129,22.64696311950684,44.2131233215332,38.27995681762695,2.740181921839896,1.4265513130997087,19,1.0987561575379106,115,282.3,268.90000000000003,124.21903999999999
Dotta,D5,2016-06-29,39.90274399,-120.368636,292.8,,0.0246082033110166,0.3087022815651489,0.3023782183957992,0.0253637004061662,0.3983154307406171,-0.181937733557037,0.2538294830012618,0.187631048578398,0.1923350470146221,0.2085532161815965,0.1787629610185525,0.0616727370139221,6.303884680059523,10.404818038690475,12.120542089285712,39.8474243735119,37.54390943005952,22.477948197916668,95.54115811901394,12.060924458142146,50.55552042523453,51.96947496478913,0.9269946647519528,76.00235463947735,-93.99024805010929,45.99933342707233,798.3000000000001,1711.286376953125,335.0,17,0.8902114165977877,0,752,130,0,273.3132019042969,288.5021667480469,29373.047561645508,21.757305145263672,19.994632720947266,41.32284164428711,44.28264999389648,2.7327654231628404,2.7271191438849764,19,1.460079980466641,100,583.4,483.3,126.78240000000001
Dotta,D3,2016-06-29,39.90238499,-120.368752,307.36,,-0.0235673026077702,0.3202844257917115,0.2744237254886559,0.0702773948912471,0.3357700119478842,-0.1988991506620917,0.2141527971137679,0.173553465224779,0.1771107427284585,0.2203504961445891,0.1503217997933127,0.0451320299404825,7.017023252976189,11.452293541666666,13.44377159970238,40.46783710416666,39.74312778720238,24.172435303571422,90.59608627323014,8.547219251150905,48.60820374701548,49.92971124078765,5.9089051617170805,71.35198753739455,-91.48204502272873,39.78803801915631,798.3000000000001,1710.8779296875,335.0,22,0.7976949231991959,0,752,131,0,273.3067932128906,288.5059509277344,29374.092544555664,21.757305145263672,19.994632720947266,41.32284164428711,44.28264999389648,2.7327654231628404,2.7271191438849764,19,1.460079980466641,98,639.7,427.5,133.08688
Alkali Flat,A1,2016-07-08,40.09484899,-120.3442265,335.52,,0.2228410921206759,0.3968400841845748,0.3823253519070552,-0.1520913156641936,0.5805486652499295,-0.1536226322276614,0.3905280088088483,0.1951823902495291,0.206525436899628,0.1975733232669953,0.2033029583922124,0.0657283689856416,8.951624837346117,15.327963124269518,18.56676127734436,56.43073157305548,45.99848566964461,26.57349267232059,119.25369544112276,30.377402186366584,65.38106250801104,67.62572613603922,-7.868060668391427,103.5523565267958,-109.68653465356428,55.20985000507044,841.9000000000001,1743.1484375,284.6,402,0.7585583263002807,0,619,78,0,276.41424560546875,288.2583312988281,29787.822311401367,14.057557106018066,22.11315155029297,53.64175033569336,46.00106048583984,3.943950634977242,2.0102960918656625,19,0.981339841302608,119,685.8000000000001,741.9000000000001,145.28016
Big Flat,F8,2017-08-02,40.14846073,-120.4615125,347.2,,0.3538636285057256,0.6059450298159468,0.5486976797182928,-0.2884211028698354,0.7030701220958686,-0.0777414212999854,0.5391752737850742,0.2559444525162777,0.2657785612885714,0.1354516940955189,0.300141329799343,0.1137200972349656,10.838762555343209,16.59145374417702,17.536553134854273,67.3176476337295,45.45552610338031,24.44759725384217,129.04618002622323,40.52837528175237,85.79213508285991,82.47712772076765,-25.49635598699737,112.88677729408391,-105.6846522441275,76.81427879361362,731.4000000000001,1739.830810546875,343.6,74,2.012223347303244,0,815,87,1,276.5682678222656,286.7428894042969,29318.82827758789,17.796560287475586,24.725341796875,48.22139358520508,44.24149703979492,2.6047064686576893,1.875851374202816,5,0.8434121917227275,127,604.7,600.8000000000001,150.33759999999998
Dixie,X5,2016-07-18,39.93482203,-120.332041,417.6,,0.1927182098312075,0.486754439400139,0.4536462325999514,-0.1302725272145738,0.5703610043537252,-0.020467880829685,0.4033135549484649,0.2861019492968937,0.2902660236113952,0.0844250655494861,0.3447737716947046,0.1598722696407536,8.537614895045516,15.433017965423671,17.37223208280812,67.64577692428222,49.003726035451685,26.85665293110994,110.20389210287068,31.25520523499366,80.86337494262271,78.69857758479527,-16.90137871081915,96.47351793614324,-96.26386670101108,60.96449440812411,779.2,1804.140380859375,320.5,79,1.2204521556002863,0,745,121,0,273.68487548828125,287.92144775390625,29291.91081237793,19.923646926879883,23.918853759765625,47.71894836425781,45.63033676147461,2.401775848186336,1.195311399215832,5,1.0663155452993824,94,799.6,533.5,180.82080000000002
Dotta,D10,2016-07-07,39.90626656,-120.3808085,422.72,,0.1721697702739804,0.3898797008088603,0.3764535049781929,-0.1115931779634721,0.531763556856862,-0.1504108755802918,0.3665399969757684,0.2057127944813898,0.2122987960700433,0.1852701217006659,0.2269340502518084,0.0922992331877139,6.220833721726191,10.55202330357143,11.598022683035714,47.71716065029762,33.325949747023806,18.120302641369044,108.858563392752,32.0027558197029,66.45957521451544,65.1139127039428,-18.63485160408684,94.60489953312305,-93.89657324334088,61.03798499186769,798.5,1700.72998046875,333.3,128,0.529778434481504,0,752,105,15,273.336669921875,288.617431640625,29383.6830444336,19.39632225036621,22.94635391235352,48.80786895751953,45.63541412353516,2.7605360833094656,1.6876768925800267,19,1.198699461317528,107,684.3000000000001,539.1,183.03776000000002
Big Flat,F12,2017-08-02,40.14845227,-120.4610242,433.44,,0.3354184004936127,0.573243562430239,0.5229854766230901,-0.270085021496067,0.6921433095440573,-0.0848216300501026,0.5245563692067228,0.2625212247584439,0.2729752575454645,0.1355620258428425,0.3137384497330141,0.148183453663173,7.854361138350182,12.79247567847782,13.108018522113564,59.08660080971103,39.9935430364191,21.290215636238493,117.80830897784752,35.34382114164046,82.84680311139005,77.2121036463551,-22.870543050893414,102.58066266997568,-96.85690870146654,70.20432945458555,731.7,1738.057861328125,343.8,91,2.1555381320346174,0,815,88,17,276.56866455078125,286.74578857421875,29318.74307250977,15.50471019744873,22.24265480041504,50.80810928344727,50.1689567565918,3.7803617848698026,2.0918851423886484,5,0.8884794958105182,117,641.2,612.1,187.67952
Dotta,D8,2016-07-07,39.90622348,-120.3813162,443.84,,-0.0029561825524817,0.2921567990566605,0.2890149009394015,0.049794693195629,0.3485153853141299,-0.2146541072498052,0.222116790537245,0.1649017239265488,0.1684596037332378,0.2322184190410868,0.1288431175075088,0.0424636024361088,7.795710674107143,13.04372260863095,15.597573931547618,50.26129058779762,39.03239795535714,22.132366193452384,102.95530617470706,27.28832410700952,60.69441593699397,61.78536718165837,-9.989401409551965,90.41387543819006,-94.81729626534674,49.13088468730294,798.5,1700.071044921875,333.40000000000003,149,0.8845976044105387,0,752,101,1,273.3361511230469,288.6208190917969,29384.11033630371,19.263748168945312,23.66689682006836,50.04496765136719,46.99065017700195,2.730986353478732,1.3408324132467406,19,1.1217153078394884,102,689.2,519.1,192.18272
