ID,Area_m2,Area_km2,NDVI,NDWI,Meadow
1799,5314.608,0.00531,0.105565961,-0.119149217,
1801,21223.223,0.02122,0.076225897,-0.063306487,
1806,63958.045,0.06396,0.024191049,-0.031227377,
1819,12408.462,0.01241,0.077877869,-0.093946552,
1831,4706.196,0.00471,0.188566358,-0.208883497,
1841,31018.855,0.03102,0.007306267,-0.006162608,
1842,17444.333,0.01744,-0.003931587,0.000205012,
1843,4433.206,0.00443,0.0712839,-0.082329391,
1851,10466.655,0.01047,0.173301696,-0.168668187,
1852,7714.334,0.00771,0.191458504,-0.220037033,
1857,9243.968,0.00924,0.195769403,-0.222033744,
1859,16979.814,0.01698,0.052628008,-0.060592492,
1875,16551.431,0.01655,0.109736723,-0.1393392,
1881,20093.7,0.02009,0.173064418,-0.163574362,
1886,38859.938,0.03886,0.015177409,-0.026699687,
1888,6454.287,0.00645,0.070772121,-0.071207201,
1894,15038.371,0.01504,,,
1897,8942.664,0.00894,0.087099662,-0.079077168,
1903,17917.662,0.01792,0.017459867,-0.029689933,
1913,10336.474,0.01034,,,
1915,19951.507,0.01995,0.115383468,-0.104520447,
1918,6932.632,0.00693,0.192592391,-0.221812644,
1922,8282.27,0.00828,0.075474782,-0.089849617,
1925,42935.675,0.04294,0.126346086,-0.135489888,
1934,14448.241,0.01445,0.186665384,-0.208793235,
1936,5054.233,0.00505,0.080769817,-0.072346041,
1937,38034.423,0.03803,0.033151226,-0.04400969,
1953,12867.174,0.01287,0.164685307,-0.182592304,
1955,7691.171,0.00769,0.079414442,-0.094478058,
1956,6174.547,0.00617,0.09388609,-0.124782045,
1960,95144.193,0.09514,0.050068771,-0.061063664,
1968,5470.783,0.00547,0.105096182,-0.119685258,
1971,12377.065,0.01238,0.154794365,-0.181229472,
1976,18699.286,0.0187,0.034611407,-0.039043753,
1981,5927.606,0.00593,0.077462058,-0.111216924,
1988,14514.836,0.01451,0.139436742,-0.131970832,
1997,41381.273,0.04138,0.180283867,-0.177358356,
2003,4930.764,0.00493,0.133158684,-0.141310966,
2004,8992.722,0.00899,0.10080543,-0.112824755,
2007,19041.904,0.01904,0.023289171,-0.035480446,
2013,24833.531,0.02483,0.086006561,-0.107564044,
2018,22328.434,0.02233,0.015512953,-0.018876591,
2020,24557.058,0.02456,0.053112701,-0.059502775,
2027,26573.246,0.02657,0.092167983,-0.104411636,
2031,59544.735,0.05954,0.110544634,-0.124867987,
2070,14623.924,0.01462,0.004750068,-0.011624965,
2074,6720.861,0.00672,0.050240692,-0.06773743,
2082,8250.035,0.00825,0.167486145,-0.151741499,
2090,9971.206,0.00997,0.180068101,-0.171713016,
2194,10116.317,0.01012,0.093650633,-0.087647952,
2197,6053.75,0.00605,0.126320617,-0.191366338,
2209,7902.073,0.0079,0.187352895,-0.231613028,
2211,9325.91,0.00933,0.175016478,-0.19299096,
2215,18679.774,0.01868,0.032046926,-0.039931454,
2218,12782.148,0.01278,0.180581752,-0.192927044,
2221,9380.774,0.00938,0.103264874,-0.100145908,
2222,5195.333,0.0052,0.192611208,-0.212563297,
2223,8931.63,0.00893,0.062272312,-0.060218223,
2227,7516.914,0.00752,0.080316615,-0.077425308,
2228,8590.472,0.00859,0.199034952,-0.215506859,
2233,8410.564,0.00841,0.190365869,-0.232929437,
2244,66102.322,0.0661,-0.003230732,-0.002631156,
2245,39887.258,0.03989,0.11512704,-0.128787092,
2249,6595.666,0.0066,0.051164214,-0.059667715,
2256,11061.838,0.01106,0.031865228,-0.034043236,
2259,6138.137,0.00614,0.113572471,-0.100080935,
2261,5861.025,0.00586,0.14329183,-0.14688256,
2262,8549.147,0.00855,0.023657635,-0.027226324,
2272,5574.486,0.00557,0.066576958,-0.083512845,
2276,9980.792,0.00998,0.094481689,-0.100290159,
2295,9560.395,0.00956,0.101717307,-0.116937289,
2299,17556.086,0.01756,0.029693076,-0.035444436,
2317,18880.62,0.01888,0.15926347,-0.200280339,
2320,93671.422,0.09367,0.188053946,-0.208869521,
2323,6329.765,0.00633,0.174501644,-0.168080863,
2333,5351.515,0.00535,0.137957386,-0.157926021,
2334,7303.465,0.0073,0.047690128,-0.05947029,
2335,5178.697,0.00518,0.120577989,-0.140660705,
2338,13439.353,0.01344,0.174661482,-0.203201761,
2340,6876.983,0.00688,0.171653177,-0.161172954,
2341,4808.806,0.00481,0.038352381,-0.048148848,
2342,5902.9,0.0059,0.068486971,-0.086419876,
2345,10089.876,0.01009,0.111825366,-0.108958714,
2348,5656.954,0.00566,0.193136295,-0.218536827,
2350,9083.671,0.00908,0.007338058,-0.014550181,
2356,10195.388,0.0102,0.174171049,-0.185801259,
2358,7804.509,0.0078,0.08164214,-0.090462834,
2363,10151.967,0.01015,0.175038507,-0.199130096,
2365,12739.359,0.01274,0.191153532,-0.205637368,
2366,5826.035,0.00583,0.089372379,-0.08644246,
2367,8752.205,0.00875,0.199689054,-0.192669676,
2368,5409.55,0.00541,0.106135752,-0.093905204,
2369,5934.498,0.00593,0.062693885,-0.073573197,
2370,8360.673,0.00836,0.000828843,-0.005810877,
2371,7312.676,0.00731,0.027608962,-0.036321053,
2373,7308.987,0.00731,0.170384251,-0.19565102,
2374,11135.253,0.01114,0.08084532,-0.077648701,
2375,5662.351,0.00566,0.028414197,-0.02489548,
2376,7545.224,0.00755,0.067754292,-0.080504049,
2378,6119.78,0.00612,0.078350831,-0.092991322,
2380,5269.964,0.00527,0.066901333,-0.057282328,
2395,7771.834,0.00777,0.144867811,-0.162956759,
2462,5941.955,0.00594,0.071084415,-0.066965467,
2466,6286.129,0.00629,0.167194085,-0.152862467,
2467,7716.686,0.00772,0.165302143,-0.1584625,
2468,4481.632,0.00448,0.15743605,-0.155718412,
2470,4598.745,0.0046,0.10914119,-0.098119732,
2472,36684.352,0.03668,0.191600573,-0.200186648,
2475,8432.51,0.00843,0.153063139,-0.174318848,
2486,4958.011,0.00496,0.13338419,-0.128212145,
2487,4619.287,0.00462,0.042949949,-0.065790853,
2498,8080.257,0.00808,0.179680569,-0.236333699,
2521,4200.886,0.0042,0.17304289,-0.171681082,
2523,9283.02,0.00928,0.132221633,-0.141629586,
2552,9280.031,0.00928,0.128197521,-0.154695191,
2559,8630.894,0.00863,0.081490102,-0.103498453,
2561,9514.91,0.00951,0.118312305,-0.145023636,
2567,5953.093,0.00595,0.188782774,-0.192517367,
2571,5978.89,0.00598,0.186411238,-0.191202717,
2577,6451.066,0.00645,0.177104911,-0.198134177,
2597,6292.662,0.00629,0.04589588,-0.064555279,
2601,5818.358,0.00582,0.021309386,-0.026149643,
2602,6852.542,0.00685,0.171660356,-0.15494895,
2605,4351.191,0.00435,0.156432581,-0.199837458,
2771,4742.535,0.00474,0.089424654,-0.078336845,
2773,6369.217,0.00637,0.056146519,-0.075007629,
2793,20451.326,0.02045,0.164137484,-0.157535637,
2842,7577.79,0.00758,0.180847044,-0.19237218,
2891,8411.822,0.00841,0.166539829,-0.163093196,
2893,4857.147,0.00486,0.177849315,-0.171008179,
2894,6829.104,0.00683,0.136173557,-0.144379153,
2897,19762.054,0.01976,0.197054116,-0.186110077,
2900,5793.701,0.00579,0.19918466,-0.183590197,
2903,4309.737,0.00431,0.148453927,-0.162141834,
2904,7566.48,0.00757,0.136079872,-0.142990381,
2916,4190.384,0.00419,0.091327032,-0.119478554,
2924,4775.87,0.00478,0.166255541,-0.191051103,
2925,11467.726,0.01147,0.154158101,-0.181592259,
2926,6091.724,0.00609,0.143906711,-0.167252404,
2927,5292.151,0.00529,0.10616829,-0.104818391,
2928,4841.444,0.00484,0.138148899,-0.155626764,
2930,5469.81,0.00547,0.188613905,-0.204142418,
2931,4388.306,0.00439,0.040675324,-0.051523489,
2933,9960.448,0.00996,0.186395303,-0.179978252,
2934,5127.702,0.00513,0.052337567,-0.064852797,
2935,4818.062,0.00482,0.004072961,-0.007618137,
2936,5790.154,0.00579,0.19406479,-0.21021867,
2937,4829.654,0.00483,0.179969664,-0.191729802,
2938,4700.063,0.0047,0.129614458,-0.148860104,
2939,4614.842,0.00461,0.193779678,-0.204140959,
2940,4282.201,0.00428,0.147091275,-0.160939054,
2948,4856.294,0.00486,0.108200774,-0.103490056,
2949,7701.959,0.0077,0.03526803,-0.050452042,
2954,7306.272,0.00731,0.14459052,-0.160912452,
2955,4339.518,0.00434,0.138214069,-0.159089122,
2958,5472.617,0.00547,0.161899792,-0.192017266,
2971,5771.152,0.00577,0.033542904,-0.045067929,
2976,6288.433,0.00629,0.137694371,-0.134558475,
2980,4806.406,0.00481,0.110769679,-0.106162862,
2981,7653.827,0.00765,0.040593551,-0.050750434,
2982,15080.197,0.01508,0.010410242,-0.012757011,
2985,4898.043,0.0049,0.133858725,-0.132548974,
2986,6035.72,0.00604,0.102174798,-0.105882457,
2987,4923.115,0.00492,0.188278019,-0.176077027,
2988,8725.95,0.00873,0.077684961,-0.088635267,
2989,4749.716,0.00475,0.01056569,-0.014235018,
2990,4282.649,0.00428,0.010746942,-0.017914874,
2991,4782.042,0.00478,0.176632568,-0.200809565,
2997,4565.093,0.00457,0.129502501,-0.131761401,
2998,11826.173,0.01183,0.131056716,-0.141239196,
2999,8815.887,0.00882,0.137785798,-0.13162219,
3000,6599.852,0.0066,0.199824433,-0.218485633,
3002,7500.582,0.0075,0.059010066,-0.071735381,
3003,7092.812,0.00709,0.164380161,-0.162208059,
3027,7274.62,0.00727,0.190487165,-0.196617232,
3028,5758.199,0.00576,0.191365045,-0.199872234,
3032,4522.831,0.00452,0.005232118,-0.00776366,
3033,18313.718,0.01831,-0.001933368,-0.002126209,
3034,5722.329,0.00572,0.030294031,-0.040073094,
3046,5876.58,0.00588,0.114388226,-0.103714729,
3047,20387.251,0.02039,0.160182907,-0.156909118,
3057,5243.75,0.00524,0.124086854,-0.126398999,
3058,5193.43,0.00519,0.011535865,-0.021573442,
3060,5055.333,0.00506,0.169705118,-0.186332894,
3061,5389.172,0.00539,0.197756142,-0.216937885,
3062,7178.92,0.00718,0.164342372,-0.188657641,
